,EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Mean_Work_Hrs
0,1,51.0,Travel_Rarely,Sales,6.0,2,Life Sciences,Female,1,Healthcare Representative,Married,131160.0,1.0,11.0,0,1.0,6,1.0,0.0,0.0,No,3,3,3,4,2,7.373650622605364
1,2,31.0,Travel_Frequently,Research & Development,10.0,1,Life Sciences,Female,1,Research Scientist,Single,41890.0,0.0,23.0,1,6.0,3,5.0,1.0,4.0,Yes,2,4,3,2,4,7.718968926553671
2,3,32.0,Travel_Frequently,Research & Development,17.0,4,Other,Male,4,Sales Executive,Married,193280.0,1.0,15.0,3,5.0,2,5.0,0.0,3.0,No,3,3,2,2,1,7.013240358126722
3,4,38.0,Non-Travel,Research & Development,2.0,5,Life Sciences,Male,3,Human Resources,Married,83210.0,3.0,11.0,3,13.0,5,8.0,7.0,5.0,No,2,3,4,4,3,7.193678486997635
4,5,32.0,Travel_Rarely,Research & Development,10.0,1,Medical,Male,1,Sales Executive,Single,23420.0,4.0,12.0,2,9.0,2,6.0,0.0,4.0,No,3,3,4,1,3,8.006174603174603
5,6,46.0,Travel_Rarely,Research & Development,8.0,3,Life Sciences,Female,4,Research Director,Married,40710.0,3.0,13.0,0,28.0,5,7.0,7.0,7.0,No,3,3,3,2,2,10.796095874355368
6,7,28.0,Travel_Rarely,Research & Development,11.0,2,Medical,Male,2,Sales Executive,Single,58130.0,2.0,20.0,1,5.0,2,0.0,0.0,0.0,Yes,3,4,1,3,1,6.923570402298851
7,8,29.0,Travel_Rarely,Research & Development,18.0,3,Life Sciences,Male,2,Sales Executive,Married,31430.0,2.0,22.0,3,10.0,2,0.0,0.0,0.0,No,3,4,1,2,3,6.725620713305899
8,9,31.0,Travel_Rarely,Research & Development,1.0,3,Life Sciences,Male,3,Laboratory Technician,Married,20440.0,0.0,21.0,0,10.0,2,9.0,7.0,8.0,No,3,4,2,4,3,7.236498792270531
9,10,25.0,Non-Travel,Research & Development,7.0,4,Medical,Female,4,Laboratory Technician,Divorced,134640.0,1.0,13.0,1,6.0,2,6.0,1.0,5.0,No,3,3,2,1,3,7.0800878442545105
10,11,45.0,Travel_Rarely,Research & Development,17.0,2,Medical,Male,2,Laboratory Technician,Married,79910.0,0.0,13.0,2,21.0,2,20.0,4.0,10.0,No,2,3,3,4,3,8.403485477178423
11,12,36.0,Travel_Rarely,Research & Development,28.0,1,Life Sciences,Male,1,Laboratory Technician,Married,33770.0,0.0,12.0,2,16.0,2,15.0,10.0,11.0,No,3,3,3,4,3,7.06895458736745
12,13,55.0,Travel_Rarely,Research & Development,14.0,4,Life Sciences,Female,1,Sales Executive,Single,55380.0,0.0,17.0,0,37.0,2,36.0,4.0,13.0,No,3,3,4,1,3,9.301409509946627
13,14,47.0,Non-Travel,Research & Development,1.0,1,Medical,Male,1,Research Scientist,Married,57620.0,1.0,11.0,2,10.0,4,10.0,9.0,9.0,Yes,2,3,1,2,2,9.399931442080378
