EmployeeID;Attrition;retirementDate;retirementType;resignationReason
2;Yes;15/10/2016;Resignation;Others
7;Yes;20/07/2016;Resignation;Stress
14;Yes;08/11/2016;Resignation;Others
29;Yes;15/10/2016;Resignation;Others
31;Yes;08/02/2016;Resignation;Salary
36;Yes;18/06/2016;Resignation;Others
39;Yes;29/04/2016;Resignation;Stress
60;Yes;15/12/2016;Resignation;Others
66;Yes;18/01/2016;Resignation;Salary
70;Yes;23/08/2016;Fired;NA
79;Yes;17/02/2016;Resignation;Salary
100;Yes;23/02/2016;Resignation;Others
106;Yes;07/04/2016;Resignation;Salary
109;Yes;08/10/2016;Resignation;Others
111;Yes;12/08/2016;Resignation;Stress
113;Yes;14/10/2016;Resignation;Others
121;Yes;26/07/2016;Fired;NA
125;Yes;02/05/2016;Resignation;Stress
128;Yes;29/07/2016;Resignation;Others
148;Yes;10/01/2016;Resignation;Salary
157;Yes;29/02/2016;Resignation;Others
158;Yes;25/03/2016;Resignation;Others
164;Yes;30/06/2016;Resignation;Others
165;Yes;16/11/2016;Fired;NA
178;Yes;13/02/2016;Resignation;Others
179;Yes;05/07/2016;Resignation;Salary
182;Yes;22/02/2016;Resignation;Others
183;Yes;03/01/2016;Fired;NA
186;Yes;05/03/2016;Resignation;Stress
196;Yes;04/09/2016;Resignation;Salary
200;Yes;25/01/2016;Resignation;Salary
206;Yes;10/01/2016;Resignation;Salary
212;Yes;01/06/2016;Resignation;Salary
222;Yes;22/06/2016;Fired;NA
223;Yes;28/10/2016;Fired;NA
225;Yes;23/06/2016;Resignation;Salary
238;Yes;30/05/2016;Resignation;Others
247;Yes;14/07/2016;Resignation;Others
256;Yes;17/08/2016;Resignation;Salary
257;Yes;28/01/2016;Resignation;Others
268;Yes;19/01/2016;Resignation;Others
271;Yes;06/04/2016;Resignation;Others
283;Yes;06/03/2016;Resignation;Salary
290;Yes;08/12/2016;Resignation;Others
305;Yes;01/09/2016;Fired;NA
309;Yes;11/09/2016;Resignation;Salary
311;Yes;09/06/2016;Resignation;Salary
316;Yes;30/09/2016;Resignation;Others
328;Yes;17/01/2016;Resignation;Stress
332;Yes;26/08/2016;Resignation;Salary
334;Yes;13/03/2016;Resignation;Others
338;Yes;19/06/2016;Resignation;Stress
341;Yes;18/05/2016;Resignation;Salary
350;Yes;09/03/2016;Resignation;Others
351;Yes;24/08/2016;Resignation;Others
357;Yes;04/09/2016;Resignation;Salary
379;Yes;11/06/2016;Fired;NA
388;Yes;19/02/2016;Resignation;Others
399;Yes;22/04/2016;Fired;NA
403;Yes;11/08/2016;Resignation;Salary
405;Yes;25/03/2016;Resignation;Others
406;Yes;02/09/2016;Resignation;Others
409;Yes;01/04/2016;Resignation;Others
410;Yes;26/05/2016;Resignation;Others
412;Yes;21/07/2016;Resignation;Others
426;Yes;26/11/2016;Resignation;Others
431;Yes;12/08/2016;Resignation;Others
432;Yes;02/06/2016;Resignation;Salary
436;Yes;26/06/2016;Fired;NA
438;Yes;25/05/2016;Resignation;Others
443;Yes;12/12/2016;Resignation;Salary
449;Yes;22/10/2016;Resignation;Others
452;Yes;06/11/2016;Resignation;Others
454;Yes;10/09/2016;Resignation;Others
463;Yes;19/02/2016;Resignation;Stress
468;Yes;01/05/2016;Resignation;Stress
474;Yes;14/11/2016;Fired;NA
475;Yes;13/12/2016;Resignation;Others
487;Yes;21/09/2016;Resignation;Others
491;Yes;27/11/2016;Resignation;Others
492;Yes;18/10/2016;Resignation;Others
495;Yes;10/05/2016;Resignation;Others
504;Yes;10/02/2016;Resignation;Stress
505;Yes;01/07/2016;Resignation;Salary
519;Yes;02/05/2016;Resignation;Others
520;Yes;26/02/2016;Resignation;Salary
522;Yes;22/10/2016;Resignation;Others
523;Yes;03/11/2016;Fired;NA
532;Yes;21/07/2016;Resignation;Others
534;Yes;06/03/2016;Resignation;Others
535;Yes;02/12/2016;Resignation;Salary
539;Yes;08/01/2016;Resignation;Stress
540;Yes;04/01/2016;Resignation;Others
541;Yes;18/04/2016;Resignation;Others
543;Yes;24/01/2016;Resignation;Salary
544;Yes;31/07/2016;Resignation;Others
556;Yes;27/05/2016;Resignation;Others
571;Yes;06/04/2016;Resignation;Others
572;Yes;27/04/2016;Resignation;Others
574;Yes;23/08/2016;Resignation;Others
579;Yes;06/03/2016;Resignation;Salary
581;Yes;19/09/2016;Resignation;Salary
585;Yes;24/01/2016;Resignation;Salary
592;Yes;29/01/2016;Resignation;Others
600;Yes;16/09/2016;Resignation;Others
603;Yes;12/03/2016;Resignation;Stress
607;Yes;06/04/2016;Resignation;Salary
614;Yes;21/04/2016;Resignation;Stress
635;Yes;20/05/2016;Fired;NA
654;Yes;19/01/2016;Resignation;Stress
656;Yes;26/07/2016;Resignation;Salary
658;Yes;04/09/2016;Resignation;Others
671;Yes;18/02/2016;Resignation;Others
675;Yes;23/07/2016;Resignation;Salary
682;Yes;18/03/2016;Resignation;Stress
683;Yes;25/06/2016;Fired;NA
689;Yes;10/08/2016;Resignation;Salary
690;Yes;22/02/2016;Resignation;Salary
695;Yes;26/03/2016;Resignation;Salary
696;Yes;21/03/2016;Fired;NA
709;Yes;31/01/2016;Resignation;Others
718;Yes;11/10/2016;Resignation;Others
723;Yes;05/05/2016;Resignation;Salary
724;Yes;04/08/2016;Resignation;Salary
728;Yes;27/10/2016;Resignation;Others
740;Yes;31/08/2016;Resignation;Others
749;Yes;13/11/2016;Resignation;Others
750;Yes;06/11/2016;Resignation;Salary
755;Yes;01/10/2016;Resignation;Others
759;Yes;29/03/2016;Resignation;Others
764;Yes;22/01/2016;Resignation;Others
774;Yes;06/12/2016;Resignation;Others
775;Yes;24/02/2016;Resignation;Salary
776;Yes;13/07/2016;Resignation;Stress
779;Yes;22/07/2016;Resignation;Stress
782;Yes;28/07/2016;Resignation;Salary
799;Yes;24/03/2016;Resignation;Stress
800;Yes;02/05/2016;Resignation;Stress
801;Yes;31/07/2016;Resignation;Others
803;Yes;24/01/2016;Fired;NA
811;Yes;08/04/2016;Fired;NA
820;Yes;20/06/2016;Resignation;Stress
826;Yes;16/03/2016;Resignation;Others
828;Yes;25/11/2016;Resignation;Others
849;Yes;23/05/2016;Resignation;Stress
853;Yes;02/07/2016;Resignation;Salary
854;Yes;18/09/2016;Resignation;Salary
855;Yes;14/01/2016;Resignation;Others
879;Yes;04/04/2016;Resignation;Others
896;Yes;13/03/2016;Fired;NA
905;Yes;01/02/2016;Resignation;Others
910;Yes;21/07/2016;Resignation;Others
914;Yes;05/09/2016;Resignation;Others
929;Yes;01/02/2016;Resignation;Salary
944;Yes;27/05/2016;Resignation;Salary
